# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	3.042328042328042437e-01
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	3.174603174603174427e-01
16	2.116402116402116285e-01
17	0.000000000000000000e+00
18	1.322751322751322678e-02
19	1.322751322751322678e-02
20	1.322751322751322678e-02
21	0.000000000000000000e+00
22	9.259259259259258745e-02
23	9.259259259259258745e-02
24	7.936507936507936067e-02
25	1.322751322751322678e-02
26	1.322751322751322678e-02
27	0.000000000000000000e+00
28	1.322751322751322678e-02
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	3.968253968253968034e-02
32	0.000000000000000000e+00
33	1.322751322751322678e-02
34	2.645502645502645356e-02
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	2.645502645502645356e-02
39	0.000000000000000000e+00
40	2.645502645502645356e-02
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	1.322751322751322678e-02
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	3.968253968253968034e-02
50	2.645502645502645356e-02
51	2.645502645502645356e-02
52	1.322751322751322678e-02
53	3.968253968253968034e-02
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	1.322751322751322678e-02
57	0.000000000000000000e+00
58	9.259259259259258745e-02
59	1.322751322751322678e-02
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	9.259259259259258745e-02
65	0.000000000000000000e+00
66	1.322751322751322678e-02
67	1.322751322751322678e-02
68	0.000000000000000000e+00
69	1.322751322751322678e-02
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	1.322751322751322678e-02
87	0.000000000000000000e+00
88	1.322751322751322678e-02
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	1.322751322751322678e-02
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	6.613756613756613389e-02
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	1.322751322751322678e-02
98	0.000000000000000000e+00
99	2.645502645502645356e-02
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	2.248677248677248552e-01
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	1.322751322751322678e-02
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	0.000000000000000000e+00
113	0.000000000000000000e+00
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	1.322751322751322678e-02
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	1.322751322751322678e-02
134	1.322751322751322678e-02
135	1.322751322751322678e-02
136	1.322751322751322678e-02
137	1.322751322751322678e-02
138	1.322751322751322678e-02
139	0.000000000000000000e+00
140	0.000000000000000000e+00
141	3.968253968253968034e-02
142	2.645502645502645356e-02
143	0.000000000000000000e+00
144	0.000000000000000000e+00
145	0.000000000000000000e+00
146	0.000000000000000000e+00
147	0.000000000000000000e+00
148	0.000000000000000000e+00
149	0.000000000000000000e+00
150	0.000000000000000000e+00
151	0.000000000000000000e+00
152	2.645502645502645356e-02
153	2.645502645502645356e-02
154	2.645502645502645356e-02
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	2.645502645502645356e-01
162	0.000000000000000000e+00
