# amplicon position	effect
1	0.000000000000000000e+00
2	2.032520325203251987e-02
3	2.032520325203251987e-02
4	2.032520325203251987e-02
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	2.032520325203251987e-02
8	6.097560975609755962e-02
9	0.000000000000000000e+00
10	4.065040650406503975e-02
11	4.065040650406503975e-02
12	0.000000000000000000e+00
13	4.065040650406503975e-02
14	1.016260162601625994e-01
15	2.032520325203251987e-02
16	2.032520325203251987e-02
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	2.032520325203251987e-02
20	4.065040650406503975e-02
21	2.032520325203251987e-02
22	2.032520325203251987e-02
23	1.016260162601625994e-01
24	2.032520325203251987e-02
25	2.032520325203251987e-02
26	4.065040650406503975e-02
27	4.065040650406503975e-02
28	2.032520325203251987e-02
29	0.000000000000000000e+00
30	0.000000000000000000e+00
