# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	3.218884120171673913e-01
14	2.682403433476394927e-02
15	2.682403433476394927e-02
16	8.047210300429184782e-02
17	2.682403433476394927e-02
18	2.145922746781115942e-01
19	8.047210300429184782e-02
20	0.000000000000000000e+00
21	4.023605150214592530e-01
22	1.877682403433476310e-01
23	2.414163090128755296e-01
24	2.682403433476394650e-01
25	2.145922746781115942e-01
26	5.364806866952789854e-02
27	1.072961373390557971e-01
28	4.291845493562231884e-01
29	1.341201716738197325e-01
30	1.072961373390557971e-01
31	2.145922746781115942e-01
32	8.047210300429184782e-02
33	1.072961373390557971e-01
34	4.560085836909871237e-01
35	0.000000000000000000e+00
36	5.364806866952789299e-01
37	8.047210300429184782e-02
38	3.755364806866952621e-01
39	3.218884120171673913e-01
40	2.414163090128755296e-01
41	1.341201716738197325e-01
42	2.682403433476394927e-02
43	8.047210300429184782e-02
44	0.000000000000000000e+00
45	1.072961373390557971e-01
46	0.000000000000000000e+00
47	1.341201716738197325e-01
48	1.341201716738197325e-01
49	6.169527896995707916e-01
50	1.341201716738197325e-01
51	8.047210300429184782e-02
52	2.145922746781115942e-01
53	5.364806866952789854e-02
54	8.047210300429184782e-02
55	1.341201716738197325e-01
56	8.047210300429184782e-02
57	3.755364806866952621e-01
58	1.341201716738197325e-01
59	2.145922746781115942e-01
60	4.023605150214592530e-01
61	1.072961373390557971e-01
62	1.341201716738197325e-01
63	2.682403433476394927e-02
64	1.609442060085836956e-01
65	2.145922746781115942e-01
66	1.877682403433476310e-01
67	1.609442060085836956e-01
68	8.047210300429184782e-02
69	5.364806866952789854e-02
70	1.609442060085836956e-01
71	1.341201716738197325e-01
72	2.950643776824034559e-01
73	8.047210300429184782e-02
74	1.609442060085836956e-01
75	5.096566523605150500e-01
76	8.047210300429184782e-02
77	1.072961373390557971e-01
78	1.877682403433476310e-01
79	2.682403433476394650e-01
80	6.706008583690986624e-01
81	0.000000000000000000e+00
82	2.145922746781115942e-01
83	2.414163090128755296e-01
84	0.000000000000000000e+00
85	2.145922746781115942e-01
86	1.609442060085836956e-01
87	1.072961373390557971e-01
88	5.096566523605150500e-01
89	1.609442060085836956e-01
90	1.341201716738197325e-01
91	8.047210300429184782e-02
92	6.706008583690986624e-01
93	1.072961373390557971e-01
94	1.877682403433476310e-01
95	2.682403433476394927e-02
96	1.072961373390557971e-01
97	0.000000000000000000e+00
98	4.291845493562231884e-01
99	1.341201716738197325e-01
100	9.093347639484978373e+00
101	1.072961373390557971e-01
102	5.364806866952789854e-02
103	0.000000000000000000e+00
104	4.560085836909871237e-01
105	2.682403433476394927e-02
106	5.364806866952789299e-01
107	7.510729613733905241e-01
108	0.000000000000000000e+00
109	5.096566523605150500e-01
110	0.000000000000000000e+00
111	1.072961373390557971e-01
112	8.047210300429184782e-02
113	1.072961373390557971e-01
114	1.609442060085836956e-01
115	5.364806866952789854e-02
116	8.047210300429184782e-02
117	2.682403433476394927e-02
118	9.656652360515021183e-01
119	2.682403433476394927e-02
120	4.828326180257510591e-01
121	8.047210300429184782e-02
122	2.682403433476394650e-01
123	3.218884120171673913e-01
124	2.682403433476394927e-02
125	2.682403433476394927e-02
126	1.341201716738197325e-01
127	0.000000000000000000e+00
128	2.682403433476394927e-02
129	3.755364806866952621e-01
130	1.341201716738197325e-01
131	1.341201716738197325e-01
132	5.364806866952789854e-02
133	5.096566523605150500e-01
134	1.072961373390557971e-01
135	1.609442060085836956e-01
136	1.877682403433476310e-01
137	1.072961373390557971e-01
138	5.364806866952789854e-02
139	5.364806866952789299e-01
140	0.000000000000000000e+00
141	9.388412017167382384e-01
142	8.047210300429184782e-02
143	2.414163090128755296e-01
144	8.047210300429184782e-02
145	3.487124463519313267e-01
146	2.682403433476394927e-02
147	3.755364806866952621e-01
148	8.047210300429184782e-02
149	2.950643776824034559e-01
150	2.414163090128755296e-01
151	0.000000000000000000e+00
152	0.000000000000000000e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	0.000000000000000000e+00
162	0.000000000000000000e+00
