# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	2.105263157894736795e-02
4	6.315789473684210731e-02
5	0.000000000000000000e+00
6	6.315789473684210731e-02
7	0.000000000000000000e+00
8	1.894736842105263219e-01
9	0.000000000000000000e+00
10	4.210526315789473589e-02
11	2.105263157894736795e-02
12	2.105263157894736795e-02
13	2.105263157894736795e-02
14	2.105263157894736795e-02
15	4.210526315789473589e-02
16	4.210526315789473589e-02
17	2.105263157894736795e-02
18	4.210526315789473589e-02
19	2.105263157894736795e-02
20	0.000000000000000000e+00
21	2.105263157894736795e-02
22	0.000000000000000000e+00
23	2.105263157894736795e-02
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	2.105263157894736795e-02
29	0.000000000000000000e+00
30	0.000000000000000000e+00
