# amplicon position	effect
1	2.823263692828910376e-02
2	1.411631846414455188e-02
3	0.000000000000000000e+00
4	7.058159232072275246e-02
5	2.823263692828910376e-02
6	1.411631846414455188e-02
7	4.234895539243365564e-02
8	4.234895539243365564e-02
9	2.823263692828910376e-02
10	1.411631846414455188e-02
11	2.823263692828910376e-02
12	8.469791078486731128e-02
13	5.646527385657820752e-02
14	0.000000000000000000e+00
15	1.411631846414455188e-02
16	2.823263692828910376e-02
17	1.129305477131564150e-01
18	1.411631846414455188e-02
19	2.823263692828910376e-02
20	0.000000000000000000e+00
21	1.411631846414455188e-02
22	5.646527385657820752e-02
23	0.000000000000000000e+00
24	4.234895539243365564e-02
25	5.646527385657820752e-02
26	0.000000000000000000e+00
27	1.129305477131564150e-01
28	1.411631846414455188e-02
29	1.411631846414455188e-02
30	4.234895539243365564e-02
31	0.000000000000000000e+00
32	4.220779220779220964e+00
33	1.129305477131564150e-01
34	7.058159232072275246e-02
35	1.411631846414455188e-02
36	1.411631846414455188e-02
37	2.823263692828910376e-02
38	5.646527385657820752e-02
39	2.399774138904573750e-01
40	2.823263692828910376e-02
41	4.234895539243365564e-02
42	0.000000000000000000e+00
43	4.234895539243365564e-02
44	2.823263692828910376e-02
45	1.411631846414455188e-02
46	0.000000000000000000e+00
47	5.646527385657820752e-02
48	7.058159232072275246e-02
49	4.234895539243365564e-02
50	5.646527385657820752e-02
51	5.646527385657820197e+00
52	4.234895539243365564e-02
53	1.411631846414455188e-02
54	1.411631846414455188e-02
55	1.411631846414455188e-02
56	2.823263692828910376e-02
57	2.823263692828910376e-02
58	4.234895539243365564e-02
59	2.823263692828910376e-02
60	2.823263692828910376e-02
61	1.411631846414455188e-02
62	1.411631846414455188e-02
63	0.000000000000000000e+00
64	2.823263692828910376e-02
65	4.234895539243365564e-02
66	7.058159232072275246e-02
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	4.234895539243365564e-02
70	1.411631846414455188e-02
71	7.058159232072275246e-02
72	0.000000000000000000e+00
73	1.411631846414455188e-02
74	5.646527385657820752e-02
75	4.234895539243365564e-02
76	2.823263692828910376e-02
77	5.646527385657820752e-02
78	1.411631846414455188e-02
79	1.411631846414455188e-02
80	4.234895539243365564e-02
81	0.000000000000000000e+00
82	2.823263692828910376e-02
83	1.411631846414455188e-02
84	7.058159232072275246e-02
85	4.234895539243365564e-02
86	0.000000000000000000e+00
87	2.823263692828910376e-02
88	1.411631846414455188e-02
89	0.000000000000000000e+00
90	2.823263692828910376e-02
91	1.411631846414455188e-02
92	1.411631846414455188e-02
93	0.000000000000000000e+00
94	1.411631846414455188e-02
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	1.411631846414455188e-02
98	1.411631846414455188e-02
99	1.411631846414455188e-02
100	1.411631846414455188e-02
