# amplicon position	effect
1	4.359197907585004444e-02
2	4.359197907585004444e-02
3	0.000000000000000000e+00
4	1.743679163034001778e-01
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	8.718395815170008889e-02
8	8.718395815170008889e-02
9	8.718395815170008889e-02
10	8.718395815170008889e-02
11	1.307759372275501264e-01
12	0.000000000000000000e+00
13	1.743679163034001778e-01
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	8.718395815170008889e-02
17	0.000000000000000000e+00
18	4.359197907585004444e-02
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	4.359197907585004444e-02
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	4.359197907585004444e-02
25	4.359197907585004444e-02
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	4.359197907585004444e-02
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	6.102877070619006084e+00
33	0.000000000000000000e+00
34	4.359197907585004444e-02
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	4.359197907585004444e-02
40	0.000000000000000000e+00
41	4.359197907585004444e-02
42	4.359197907585004444e-02
43	0.000000000000000000e+00
44	8.718395815170008889e-02
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	4.359197907585004444e-02
51	6.582388840453356593e+00
52	8.718395815170008889e-02
53	4.359197907585004444e-02
54	0.000000000000000000e+00
55	4.359197907585004444e-02
56	4.359197907585004444e-02
57	0.000000000000000000e+00
58	4.359197907585004444e-02
59	4.359197907585004444e-02
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	1.307759372275501264e-01
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	4.359197907585004444e-02
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	1.307759372275501264e-01
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	4.359197907585004444e-02
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	4.359197907585004444e-02
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	8.718395815170008889e-02
88	0.000000000000000000e+00
89	8.718395815170008889e-02
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	8.718395815170008889e-02
94	4.359197907585004444e-02
95	0.000000000000000000e+00
96	0.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
