# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	4.365772344816637451e-02
11	4.365772344816637451e-02
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	1.587553579933322773e-02
15	2.381330369899984159e-02
16	2.341641530401651072e-01
17	2.301952690903318055e-01
18	3.968883949833306932e-03
19	3.968883949833306932e-03
20	7.937767899666613863e-03
21	3.968883949833306932e-03
22	1.468487061438323582e-01
23	1.468487061438323582e-01
24	3.175107159866645545e-02
25	3.571995554849976412e-02
26	1.190665184949992079e-02
27	1.190665184949992079e-02
28	3.968883949833306932e-03
29	0.000000000000000000e+00
30	7.937767899666613863e-03
31	7.937767899666613863e-03
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	3.968883949833306932e-03
35	3.968883949833306932e-03
36	7.937767899666613863e-03
37	1.190665184949992079e-02
38	3.968883949833306932e-03
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	1.190665184949992079e-02
42	1.190665184949992079e-02
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	3.968883949833306932e-03
52	3.968883949833306932e-03
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	3.968883949833306932e-03
57	3.968883949833306932e-03
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	7.937767899666613863e-03
61	7.937767899666613863e-03
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	7.937767899666613863e-03
66	1.190665184949992079e-02
67	3.968883949833306932e-03
68	3.968883949833306932e-03
69	7.937767899666613863e-03
70	3.968883949833306932e-03
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	0.000000000000000000e+00
81	0.000000000000000000e+00
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	1.190665184949992079e-02
92	1.190665184949992079e-02
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	7.937767899666613863e-03
96	7.937767899666613863e-03
97	0.000000000000000000e+00
98	2.778218764883314679e-02
99	3.571995554849976412e-02
100	1.190665184949992079e-02
101	3.968883949833306932e-03
102	3.968883949833306932e-03
103	1.587553579933322773e-02
104	1.190665184949992079e-02
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	0.000000000000000000e+00
108	0.000000000000000000e+00
109	1.190665184949992079e-02
110	1.190665184949992079e-02
111	0.000000000000000000e+00
112	1.984441974916653292e-02
113	1.984441974916653292e-02
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	3.968883949833306932e-03
118	3.968883949833306932e-03
119	0.000000000000000000e+00
120	0.000000000000000000e+00
121	0.000000000000000000e+00
122	0.000000000000000000e+00
123	0.000000000000000000e+00
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	0.000000000000000000e+00
132	0.000000000000000000e+00
133	0.000000000000000000e+00
134	0.000000000000000000e+00
135	0.000000000000000000e+00
136	0.000000000000000000e+00
137	0.000000000000000000e+00
138	0.000000000000000000e+00
139	0.000000000000000000e+00
140	3.968883949833306932e-03
141	3.968883949833306932e-03
142	3.968883949833306932e-03
143	3.968883949833306932e-03
144	0.000000000000000000e+00
145	3.968883949833306932e-03
146	7.937767899666613863e-03
147	3.968883949833306932e-03
148	1.587553579933322773e-02
149	1.587553579933322773e-02
150	1.984441974916653292e-02
151	1.984441974916653292e-02
152	0.000000000000000000e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	2.381330369899984159e-02
158	2.381330369899984159e-02
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	0.000000000000000000e+00
162	0.000000000000000000e+00
