# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	2.439024390243902385e-01
4	2.439024390243902385e-01
5	2.439024390243902385e-01
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	2.032520325203251987e-02
13	2.032520325203251987e-02
14	2.032520325203251987e-02
15	2.032520325203251987e-02
16	6.097560975609755962e-02
17	2.032520325203251987e-02
18	2.032520325203251987e-02
19	2.032520325203251987e-02
20	2.032520325203251987e-02
21	2.032520325203251987e-02
22	1.016260162601625994e-01
23	8.130081300813007950e-02
24	8.130081300813007950e-02
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	2.032520325203251987e-02
28	4.065040650406503975e-02
29	0.000000000000000000e+00
30	0.000000000000000000e+00
