# amplicon position	effect
1	0.000000000000000000e+00
2	2.256826901376664252e-02
3	2.256826901376664252e-02
4	2.256826901376664252e-02
5	4.513653802753328503e-02
6	2.256826901376664252e-02
7	6.770480704129992755e-02
8	2.256826901376664252e-02
9	0.000000000000000000e+00
10	2.256826901376664252e-02
11	2.256826901376664252e-02
12	2.256826901376664252e-02
13	2.256826901376664252e-02
14	2.256826901376664252e-02
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	2.256826901376664252e-02
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	4.513653802753328503e-02
21	0.000000000000000000e+00
22	2.256826901376664252e-02
23	4.513653802753328503e-02
24	6.770480704129992755e-02
25	4.513653802753328503e-02
26	2.256826901376664252e-02
27	4.513653802753328503e-02
28	0.000000000000000000e+00
29	4.513653802753328503e-02
30	9.027307605506657007e-02
