# amplicon position	effect
1	5.312084993359893897e-02
2	0.000000000000000000e+00
3	2.656042496679946949e-02
4	7.968127490039840499e-02
5	5.312084993359893897e-02
6	0.000000000000000000e+00
7	5.312084993359893897e-02
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	2.656042496679946949e-02
13	7.968127490039840499e-02
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	1.593625498007968100e-01
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	7.968127490039840499e-02
23	5.312084993359893897e-02
24	2.656042496679946949e-02
25	0.000000000000000000e+00
26	1.593625498007968100e-01
27	1.328021248339973370e-01
28	2.656042496679946949e-02
29	2.656042496679946949e-02
30	0.000000000000000000e+00
31	5.312084993359893897e-02
32	3.851261620185923107e+00
33	7.968127490039840499e-02
34	2.656042496679946949e-02
35	0.000000000000000000e+00
36	2.656042496679946949e-02
37	2.656042496679946949e-02
38	2.656042496679946949e-02
39	1.062416998671978779e-01
40	0.000000000000000000e+00
41	2.656042496679946949e-02
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	2.656042496679946949e-02
45	2.656042496679946949e-02
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	4.541832669322709570e+00
52	1.859229747675962829e-01
53	7.968127490039840499e-02
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	2.656042496679946949e-02
57	2.656042496679946949e-02
58	5.312084993359893897e-02
59	2.656042496679946949e-02
60	0.000000000000000000e+00
61	2.656042496679946949e-02
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	2.656042496679946949e-02
65	0.000000000000000000e+00
66	2.656042496679946949e-02
67	0.000000000000000000e+00
68	7.968127490039840499e-02
69	7.968127490039840499e-02
70	1.062416998671978779e-01
71	7.968127490039840499e-02
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	2.656042496679946949e-02
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	0.000000000000000000e+00
78	2.656042496679946949e-02
79	0.000000000000000000e+00
80	2.656042496679946949e-02
81	0.000000000000000000e+00
82	2.656042496679946949e-02
83	5.312084993359893897e-02
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	2.656042496679946949e-02
88	5.312084993359893897e-02
89	1.062416998671978779e-01
90	0.000000000000000000e+00
91	2.656042496679946949e-02
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	5.312084993359893897e-02
96	0.000000000000000000e+00
97	2.656042496679946949e-02
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
